LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
DATAQASG,AOM_ACTIE_TCMG,,,Actie_cd,2,3,1,ACTIE_CD,$,3,0,$,3,0,0,16,62,BASE,17JUN20:18:03:02,17JUN20:18:03:02,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_ACTIE_TCMG,,,Actie_oms,2,60,2,ACTIE_OMS,$,60,0,$,60,0,0,19,62,BASE,17JUN20:18:03:02,17JUN20:18:03:02,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_ACTIE_TCMG,,,Creatie_dat,1,8,4,CREATIE_DAT,DATETIME,22,3,DATETIME,22,3,1,0,62,BASE,17JUN20:18:03:02,17JUN20:18:03:02,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_ACTIE_TCMG,,,Creatie_user,2,30,3,CREATIE_USER,$,30,0,$,30,0,0,79,62,BASE,17JUN20:18:03:02,17JUN20:18:03:02,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_ACTIE_TCMG,,,Mutatie_dat,1,8,6,MUTATIE_DAT,DATETIME,22,3,DATETIME,22,3,1,8,62,BASE,17JUN20:18:03:02,17JUN20:18:03:02,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_ACTIE_TCMG,,,Mutatie_user,2,30,5,MUTATIE_USER,$,30,0,$,30,0,0,109,62,BASE,17JUN20:18:03:02,17JUN20:18:03:02,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_ACTIE_TCMG,,,timestamp,2,8,7,timestamp,$HEX,16,0,$HEX,16,0,0,139,62,BASE,17JUN20:18:03:02,17JUN20:18:03:02,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,NO
DATAQASG,AOM_TRA_ACTIE_TCMG,,,Actie_cd,2,3,1,ACTIE_CD,$,3,0,$,3,0,0,16,94,BASE,17JUN20:18:07:45,17JUN20:18:07:45,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_TRA_ACTIE_TCMG,,,Bgt_cd,2,1,2,bgt_cd,$,1,0,$,1,0,0,19,94,BASE,17JUN20:18:07:45,17JUN20:18:07:45,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
DATAQASG,AOM_TRA_ACTIE_TCMG,,,Creatie_dat,1,8,3,CREATIE_DAT,DATETIME,22,3,DATETIME,22,3,1,0,94,BASE,17JUN20:18:07:45,17JUN20:18:07:45,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
